N_max,P_mem,OITR,P_acc,P_pool,P_upsamp,P_yolo,BRAM_sys,DSP_sys,Latency_network
4,1,1,2,1,4,1,61,35,6765.862986
4,1,1,2,1,4,2,61,41,6765.862986
4,1,1,2,1,4,4,61,53,6765.862986
4,1,1,2,2,4,1,61,35,6764.997706
4,1,1,2,2,4,2,61,41,6764.997706
4,1,1,2,2,4,4,61,53,6764.997706
4,1,1,4,1,4,1,62,37,6765.862986
4,1,1,4,1,4,2,62,43,6765.862986
4,1,1,4,1,4,4,62,55,6765.862986
4,1,1,4,2,4,1,62,37,6764.997706
4,1,1,4,2,4,2,62,43,6764.997706
4,1,1,4,2,4,4,62,55,6764.997706
4,1,2,2,1,4,1,61,35,4302.345891
4,1,2,2,1,4,2,61,41,4302.345891
4,1,2,2,1,4,4,61,53,4302.345891
4,1,2,2,2,4,1,61,35,4301.480611
4,1,2,2,2,4,2,61,41,4301.480611
4,1,2,2,2,4,4,61,53,4301.480611
4,1,2,4,1,4,1,62,37,4302.345891
4,1,2,4,1,4,2,62,43,4302.345891
4,1,2,4,1,4,4,62,55,4302.345891
4,1,2,4,2,4,1,62,37,4301.480611
4,1,2,4,2,4,2,62,43,4301.480611
4,1,2,4,2,4,4,62,55,4301.480611
4,1,3,2,1,4,1,61,35,4302.345891
4,1,3,2,1,4,2,61,41,4302.345891
4,1,3,2,1,4,4,61,53,4302.345891
4,1,3,2,2,4,1,61,35,4301.480611
4,1,3,2,2,4,2,61,41,4301.480611
4,1,3,2,2,4,4,61,53,4301.480611
4,1,3,4,1,4,1,62,37,4302.345891
4,1,3,4,1,4,2,62,43,4302.345891
4,1,3,4,1,4,4,62,55,4302.345891
4,1,3,4,2,4,1,62,37,4301.480611
4,1,3,4,2,4,2,62,43,4301.480611
4,1,3,4,2,4,4,62,55,4301.480611
4,1,4,2,1,4,1,61,35,4226.327018
4,1,4,2,1,4,2,61,41,4226.327018
4,1,4,2,1,4,4,61,53,4226.327018
4,1,4,2,2,4,1,61,35,4225.461738
4,1,4,2,2,4,2,61,41,4225.461738
4,1,4,2,2,4,4,61,53,4225.461738
4,1,4,4,1,4,1,62,37,4226.327018
4,1,4,4,1,4,2,62,43,4226.327018
4,1,4,4,1,4,4,62,55,4226.327018
4,1,4,4,2,4,1,62,37,4225.461738
4,1,4,4,2,4,2,62,43,4225.461738
4,1,4,4,2,4,4,62,55,4225.461738
4,2,1,2,1,4,1,70,44,5701.733066
4,2,1,2,1,4,2,70,50,5701.733066
4,2,1,2,1,4,4,70,62,5701.733066
4,2,1,2,2,4,1,70,44,5700.867786
4,2,1,2,2,4,2,70,50,5700.867786
4,2,1,2,2,4,4,70,62,5700.867786
4,2,1,4,1,4,1,71,46,5701.733066
4,2,1,4,1,4,2,71,52,5701.733066
4,2,1,4,1,4,4,71,64,5701.733066
4,2,1,4,2,4,1,71,46,5700.867786
4,2,1,4,2,4,2,71,52,5700.867786
4,2,1,4,2,4,4,71,64,5700.867786
4,2,2,2,1,4,1,70,44,3623.234531
4,2,2,2,1,4,2,70,50,3623.234531
4,2,2,2,1,4,4,70,62,3623.234531
4,2,2,2,2,4,1,70,44,3622.369251
4,2,2,2,2,4,2,70,50,3622.369251
4,2,2,2,2,4,4,70,62,3622.369251
4,2,2,4,1,4,1,71,46,3623.234531
4,2,2,4,1,4,2,71,52,3623.234531
4,2,2,4,1,4,4,71,64,3623.234531
4,2,2,4,2,4,1,71,46,3622.369251
4,2,2,4,2,4,2,71,52,3622.369251
4,2,2,4,2,4,4,71,64,3622.369251
4,2,3,2,1,4,1,70,44,3623.234531
4,2,3,2,1,4,2,70,50,3623.234531
4,2,3,2,1,4,4,70,62,3623.234531
4,2,3,2,2,4,1,70,44,3622.369251
4,2,3,2,2,4,2,70,50,3622.369251
4,2,3,2,2,4,4,70,62,3622.369251
4,2,3,4,1,4,1,71,46,3623.234531
4,2,3,4,1,4,2,71,52,3623.234531
4,2,3,4,1,4,4,71,64,3623.234531
4,2,3,4,2,4,1,71,46,3622.369251
4,2,3,4,2,4,2,71,52,3622.369251
4,2,3,4,2,4,4,71,64,3622.369251
4,2,4,2,1,4,1,70,44,3561.227018
4,2,4,2,1,4,2,70,50,3561.227018
4,2,4,2,1,4,4,70,62,3561.227018
4,2,4,2,2,4,1,70,44,3560.361738
4,2,4,2,2,4,2,70,50,3560.361738
4,2,4,2,2,4,4,70,62,3560.361738
4,2,4,4,1,4,1,71,46,3561.227018
4,2,4,4,1,4,2,71,52,3561.227018
4,2,4,4,1,4,4,71,64,3561.227018
4,2,4,4,2,4,1,71,46,3560.361738
4,2,4,4,2,4,2,71,52,3560.361738
4,2,4,4,2,4,4,71,64,3560.361738
8,1,1,2,1,4,1,61,35,5213.297437
8,1,1,2,1,4,2,61,41,5213.297437
8,1,1,2,1,4,4,61,53,5213.297437
8,1,1,2,2,4,1,61,35,5212.432157
8,1,1,2,2,4,2,61,41,5212.432157
8,1,1,2,2,4,4,61,53,5212.432157
8,1,1,4,1,4,1,62,37,5213.297437
8,1,1,4,1,4,2,62,43,5213.297437
8,1,1,4,1,4,4,62,55,5213.297437
8,1,1,4,2,4,1,62,37,5212.432157
8,1,1,4,2,4,2,62,43,5212.432157
8,1,1,4,2,4,4,62,55,5212.432157
8,1,2,2,1,4,1,61,35,3319.266906
8,1,2,2,1,4,2,61,41,3319.266906
8,1,2,2,1,4,4,61,53,3319.266906
8,1,2,2,2,4,1,61,35,3318.401626
8,1,2,2,2,4,2,61,41,3318.401626
8,1,2,2,2,4,4,61,53,3318.401626
8,1,2,4,1,4,1,62,37,3319.266906
8,1,2,4,1,4,2,62,43,3319.266906
8,1,2,4,1,4,4,62,55,3319.266906
8,1,2,4,2,4,1,62,37,3318.401626
8,1,2,4,2,4,2,62,43,3318.401626
8,1,2,4,2,4,4,62,55,3318.401626
8,1,3,2,1,4,1,61,35,3319.266906
8,1,3,2,1,4,2,61,41,3319.266906
8,1,3,2,1,4,4,61,53,3319.266906
8,1,3,2,2,4,1,61,35,3318.401626
8,1,3,2,2,4,2,61,41,3318.401626
8,1,3,2,2,4,4,61,53,3318.401626
8,1,3,4,1,4,1,62,37,3319.266906
8,1,3,4,1,4,2,62,43,3319.266906
8,1,3,4,1,4,4,62,55,3319.266906
8,1,3,4,2,4,1,62,37,3318.401626
8,1,3,4,2,4,2,62,43,3318.401626
8,1,3,4,2,4,4,62,55,3318.401626
8,1,4,2,1,4,1,61,35,3260.728077
8,1,4,2,1,4,2,61,41,3260.728077
8,1,4,2,1,4,4,61,53,3260.728077
8,1,4,2,2,4,1,61,35,3259.862797
8,1,4,2,2,4,2,61,41,3259.862797
8,1,4,2,2,4,4,61,53,3259.862797
8,1,4,4,1,4,1,62,37,3260.728077
8,1,4,4,1,4,2,62,43,3260.728077
8,1,4,4,1,4,4,62,55,3260.728077
8,1,4,4,2,4,1,62,37,3259.862797
8,1,4,4,2,4,2,62,43,3259.862797
8,1,4,4,2,4,4,62,55,3259.862797
8,2,1,2,1,4,1,70,53,3085.037597
8,2,1,2,1,4,2,70,59,3085.037597
8,2,1,2,1,4,4,70,71,3085.037597
8,2,1,2,2,4,1,70,53,3084.172317
8,2,1,2,2,4,2,70,59,3084.172317
8,2,1,2,2,4,4,70,71,3084.172317
8,2,1,4,1,4,1,71,55,3085.037597
8,2,1,4,1,4,2,71,61,3085.037597
8,2,1,4,1,4,4,71,73,3085.037597
8,2,1,4,2,4,1,71,55,3084.172317
8,2,1,4,2,4,2,71,61,3084.172317
8,2,1,4,2,4,4,71,73,3084.172317
8,2,2,2,1,4,1,70,53,1961.044186
8,2,2,2,1,4,2,70,59,1961.044186
8,2,2,2,1,4,4,70,71,1961.044186
8,2,2,2,2,4,1,70,53,1960.178906
8,2,2,2,2,4,2,70,59,1960.178906
8,2,2,2,2,4,4,70,71,1960.178906
8,2,2,4,1,4,1,71,55,1961.044186
8,2,2,4,1,4,2,71,61,1961.044186
8,2,2,4,1,4,4,71,73,1961.044186
8,2,2,4,2,4,1,71,55,1960.178906
8,2,2,4,2,4,2,71,61,1960.178906
8,2,2,4,2,4,4,71,73,1960.178906
8,2,3,2,1,4,1,70,53,1961.044186
8,2,3,2,1,4,2,70,59,1961.044186
8,2,3,2,1,4,4,70,71,1961.044186
8,2,3,2,2,4,1,70,53,1960.178906
8,2,3,2,2,4,2,70,59,1960.178906
8,2,3,2,2,4,4,70,71,1960.178906
8,2,3,4,1,4,1,71,55,1961.044186
8,2,3,4,1,4,2,71,61,1961.044186
8,2,3,4,1,4,4,71,73,1961.044186
8,2,3,4,2,4,1,71,55,1960.178906
8,2,3,4,2,4,2,71,61,1960.178906
8,2,3,4,2,4,4,71,73,1960.178906
8,2,4,2,1,4,1,70,53,1930.528077
8,2,4,2,1,4,2,70,59,1930.528077
8,2,4,2,1,4,4,70,71,1930.528077
8,2,4,2,2,4,1,70,53,1929.662797
8,2,4,2,2,4,2,70,59,1929.662797
8,2,4,2,2,4,4,70,71,1929.662797
8,2,4,4,1,4,1,71,55,1930.528077
8,2,4,4,1,4,2,71,61,1930.528077
8,2,4,4,1,4,4,71,73,1930.528077
8,2,4,4,2,4,1,71,55,1929.662797
8,2,4,4,2,4,2,71,61,1929.662797
8,2,4,4,2,4,4,71,73,1929.662797
8,4,1,2,1,4,1,88,71,2552.972637
8,4,1,2,1,4,2,88,77,2552.972637
8,4,1,2,1,4,4,88,89,2552.972637
8,4,1,2,2,4,1,88,71,2552.107357
8,4,1,2,2,4,2,88,77,2552.107357
8,4,1,2,2,4,4,88,89,2552.107357
8,4,1,4,1,4,1,89,73,2552.972637
8,4,1,4,1,4,2,89,79,2552.972637
8,4,1,4,1,4,4,89,91,2552.972637
8,4,1,4,2,4,1,89,73,2552.107357
8,4,1,4,2,4,2,89,79,2552.107357
8,4,1,4,2,4,4,89,91,2552.107357
8,4,2,2,1,4,1,88,71,1621.488506
8,4,2,2,1,4,2,88,77,1621.488506
8,4,2,2,1,4,4,88,89,1621.488506
8,4,2,2,2,4,1,88,71,1620.623226
8,4,2,2,2,4,2,88,77,1620.623226
8,4,2,2,2,4,4,88,89,1620.623226
8,4,2,4,1,4,1,89,73,1621.488506
8,4,2,4,1,4,2,89,79,1621.488506
8,4,2,4,1,4,4,89,91,1621.488506
8,4,2,4,2,4,1,89,73,1620.623226
8,4,2,4,2,4,2,89,79,1620.623226
8,4,2,4,2,4,4,89,91,1620.623226
8,4,3,2,1,4,1,88,71,1621.488506
8,4,3,2,1,4,2,88,77,1621.488506
8,4,3,2,1,4,4,88,89,1621.488506
8,4,3,2,2,4,1,88,71,1620.623226
8,4,3,2,2,4,2,88,77,1620.623226
8,4,3,2,2,4,4,88,89,1620.623226
8,4,3,4,1,4,1,89,73,1621.488506
8,4,3,4,1,4,2,89,79,1621.488506
8,4,3,4,1,4,4,89,91,1621.488506
8,4,3,4,2,4,1,89,73,1620.623226
8,4,3,4,2,4,2,89,79,1620.623226
8,4,3,4,2,4,4,89,91,1620.623226
8,4,4,2,1,4,1,88,71,1597.978077
8,4,4,2,1,4,2,88,77,1597.978077
8,4,4,2,1,4,4,88,89,1597.978077
8,4,4,2,2,4,1,88,71,1597.112797
8,4,4,2,2,4,2,88,77,1597.112797
8,4,4,2,2,4,4,88,89,1597.112797
8,4,4,4,1,4,1,89,73,1597.978077
8,4,4,4,1,4,2,89,79,1597.978077
8,4,4,4,1,4,4,89,91,1597.978077
8,4,4,4,2,4,1,89,73,1597.112797
8,4,4,4,2,4,2,89,79,1597.112797
8,4,4,4,2,4,4,89,91,1597.112797
16,1,1,2,1,4,1,81,35,4674.317662
16,1,1,2,1,4,2,81,41,4674.317662
16,1,1,2,1,4,4,81,53,4674.317662
16,1,1,2,2,4,1,81,35,4673.452382
16,1,1,2,2,4,2,81,41,4673.452382
16,1,1,2,2,4,4,81,53,4673.452382
16,1,1,4,1,4,1,82,37,4674.317662
16,1,1,4,1,4,2,82,43,4674.317662
16,1,1,4,1,4,4,82,55,4674.317662
16,1,1,4,2,4,1,82,37,4673.452382
16,1,1,4,2,4,2,82,43,4673.452382
16,1,1,4,2,4,4,82,55,4673.452382
16,1,2,2,1,4,1,81,35,2984.963432
16,1,2,2,1,4,2,81,41,2984.963432
16,1,2,2,1,4,4,81,53,2984.963432
16,1,2,2,2,4,1,81,35,2984.098152
16,1,2,2,2,4,2,81,41,2984.098152
16,1,2,2,2,4,4,81,53,2984.098152
16,1,2,4,1,4,1,82,37,2984.963432
16,1,2,4,1,4,2,82,43,2984.963432
16,1,2,4,1,4,4,82,55,2984.963432
16,1,2,4,2,4,1,82,37,2984.098152
16,1,2,4,2,4,2,82,43,2984.098152
16,1,2,4,2,4,4,82,55,2984.098152
16,1,3,2,1,4,1,81,35,2984.963432
16,1,3,2,1,4,2,81,41,2984.963432
16,1,3,2,1,4,4,81,53,2984.963432
16,1,3,2,2,4,1,81,35,2984.098152
16,1,3,2,2,4,2,81,41,2984.098152
16,1,3,2,2,4,4,81,53,2984.098152
16,1,3,4,1,4,1,82,37,2984.963432
16,1,3,4,1,4,2,82,43,2984.963432
16,1,3,4,1,4,4,82,55,2984.963432
16,1,3,4,2,4,1,82,37,2984.098152
16,1,3,4,2,4,2,82,43,2984.098152
16,1,3,4,2,4,4,82,55,2984.098152
16,1,4,2,1,4,1,81,35,2927.670606
16,1,4,2,1,4,2,81,41,2927.670606
16,1,4,2,1,4,4,81,53,2927.670606
16,1,4,2,2,4,1,81,35,2926.805326
16,1,4,2,2,4,2,81,41,2926.805326
16,1,4,2,2,4,4,81,53,2926.805326
16,1,4,4,1,4,1,82,37,2927.670606
16,1,4,4,1,4,2,82,43,2927.670606
16,1,4,4,1,4,4,82,55,2927.670606
16,1,4,4,2,4,1,82,37,2926.805326
16,1,4,4,2,4,2,82,43,2926.805326
16,1,4,4,2,4,4,82,55,2926.805326
16,2,1,2,1,4,1,90,53,2546.057822
16,2,1,2,1,4,2,90,59,2546.057822
16,2,1,2,1,4,4,90,71,2546.057822
16,2,1,2,2,4,1,90,53,2545.192542
16,2,1,2,2,4,2,90,59,2545.192542
16,2,1,2,2,4,4,90,71,2545.192542
16,2,1,4,1,4,1,91,55,2546.057822
16,2,1,4,1,4,2,91,61,2546.057822
16,2,1,4,1,4,4,91,73,2546.057822
16,2,1,4,2,4,1,91,55,2545.192542
16,2,1,4,2,4,2,91,61,2545.192542
16,2,1,4,2,4,4,91,73,2545.192542
16,2,2,2,1,4,1,90,53,1626.740712
16,2,2,2,1,4,2,90,59,1626.740712
16,2,2,2,1,4,4,90,71,1626.740712
16,2,2,2,2,4,1,90,53,1625.875432
16,2,2,2,2,4,2,90,59,1625.875432
16,2,2,2,2,4,4,90,71,1625.875432
16,2,2,4,1,4,1,91,55,1626.740712
16,2,2,4,1,4,2,91,61,1626.740712
16,2,2,4,1,4,4,91,73,1626.740712
16,2,2,4,2,4,1,91,55,1625.875432
16,2,2,4,2,4,2,91,61,1625.875432
16,2,2,4,2,4,4,91,73,1625.875432
16,2,3,2,1,4,1,90,53,1626.740712
16,2,3,2,1,4,2,90,59,1626.740712
16,2,3,2,1,4,4,90,71,1626.740712
16,2,3,2,2,4,1,90,53,1625.875432
16,2,3,2,2,4,2,90,59,1625.875432
16,2,3,2,2,4,4,90,71,1625.875432
16,2,3,4,1,4,1,91,55,1626.740712
16,2,3,4,1,4,2,91,61,1626.740712
16,2,3,4,1,4,4,91,73,1626.740712
16,2,3,4,2,4,1,91,55,1625.875432
16,2,3,4,2,4,2,91,61,1625.875432
16,2,3,4,2,4,4,91,73,1625.875432
16,2,4,2,1,4,1,90,53,1597.470606
16,2,4,2,1,4,2,90,59,1597.470606
16,2,4,2,1,4,4,90,71,1597.470606
16,2,4,2,2,4,1,90,53,1596.605326
16,2,4,2,2,4,2,90,59,1596.605326
16,2,4,2,2,4,4,90,71,1596.605326
16,2,4,4,1,4,1,91,55,1597.470606
16,2,4,4,1,4,2,91,61,1597.470606
16,2,4,4,1,4,4,91,73,1597.470606
16,2,4,4,2,4,1,91,55,1596.605326
16,2,4,4,2,4,2,91,61,1596.605326
16,2,4,4,2,4,4,91,73,1596.605326
16,4,1,2,1,4,1,108,89,1481.927902
16,4,1,2,1,4,2,108,95,1481.927902
16,4,1,2,1,4,4,108,107,1481.927902
16,4,1,2,2,4,1,108,89,1481.062622
16,4,1,2,2,4,2,108,95,1481.062622
16,4,1,2,2,4,4,108,107,1481.062622
16,4,1,4,1,4,1,109,91,1481.927902
16,4,1,4,1,4,2,109,97,1481.927902
16,4,1,4,1,4,4,109,109,1481.927902
16,4,1,4,2,4,1,109,91,1481.062622
16,4,1,4,2,4,2,109,97,1481.062622
16,4,1,4,2,4,4,109,109,1481.062622
16,4,2,2,1,4,1,108,89,947.629352
16,4,2,2,1,4,2,108,95,947.629352
16,4,2,2,1,4,4,108,107,947.629352
16,4,2,2,2,4,1,108,89,946.764072
16,4,2,2,2,4,2,108,95,946.764072
16,4,2,2,2,4,4,108,107,946.764072
16,4,2,4,1,4,1,109,91,947.629352
16,4,2,4,1,4,2,109,97,947.629352
16,4,2,4,1,4,4,109,109,947.629352
16,4,2,4,2,4,1,109,91,946.764072
16,4,2,4,2,4,2,109,97,946.764072
16,4,2,4,2,4,4,109,109,946.764072
16,4,3,2,1,4,1,108,89,947.629352
16,4,3,2,1,4,2,108,95,947.629352
16,4,3,2,1,4,4,108,107,947.629352
16,4,3,2,2,4,1,108,89,946.764072
16,4,3,2,2,4,2,108,95,946.764072
16,4,3,2,2,4,4,108,107,946.764072
16,4,3,4,1,4,1,109,91,947.629352
16,4,3,4,1,4,2,109,97,947.629352
16,4,3,4,1,4,4,109,109,947.629352
16,4,3,4,2,4,1,109,91,946.764072
16,4,3,4,2,4,2,109,97,946.764072
16,4,3,4,2,4,4,109,109,946.764072
16,4,4,2,1,4,1,108,89,932.370606
16,4,4,2,1,4,2,108,95,932.370606
16,4,4,2,1,4,4,108,107,932.370606
16,4,4,2,2,4,1,108,89,931.505326
16,4,4,2,2,4,2,108,95,931.505326
16,4,4,2,2,4,4,108,107,931.505326
16,4,4,4,1,4,1,109,91,932.370606
16,4,4,4,1,4,2,109,97,932.370606
16,4,4,4,1,4,4,109,109,932.370606
16,4,4,4,2,4,1,109,91,931.505326
16,4,4,4,2,4,2,109,97,931.505326
16,4,4,4,2,4,4,109,109,931.505326
16,8,1,2,1,4,1,144,116,1215.895422
16,8,1,2,1,4,2,144,122,1215.895422
16,8,1,2,1,4,4,144,134,1215.895422
16,8,1,2,2,4,1,144,116,1215.030142
16,8,1,2,2,4,2,144,122,1215.030142
16,8,1,2,2,4,4,144,134,1215.030142
16,8,1,4,1,4,1,145,118,1215.895422
16,8,1,4,1,4,2,145,124,1215.895422
16,8,1,4,1,4,4,145,136,1215.895422
16,8,1,4,2,4,1,145,118,1215.030142
16,8,1,4,2,4,2,145,124,1215.030142
16,8,1,4,2,4,4,145,136,1215.030142
16,8,2,2,1,4,1,144,116,777.851512
16,8,2,2,1,4,2,144,122,777.851512
16,8,2,2,1,4,4,144,134,777.851512
16,8,2,2,2,4,1,144,116,776.986232
16,8,2,2,2,4,2,144,122,776.986232
16,8,2,2,2,4,4,144,134,776.986232
16,8,2,4,1,4,1,145,118,777.851512
16,8,2,4,1,4,2,145,124,777.851512
16,8,2,4,1,4,4,145,136,777.851512
16,8,2,4,2,4,1,145,118,776.986232
16,8,2,4,2,4,2,145,124,776.986232
16,8,2,4,2,4,4,145,136,776.986232
16,8,3,2,1,4,1,144,116,777.851512
16,8,3,2,1,4,2,144,122,777.851512
16,8,3,2,1,4,4,144,134,777.851512
16,8,3,2,2,4,1,144,116,776.986232
16,8,3,2,2,4,2,144,122,776.986232
16,8,3,2,2,4,4,144,134,776.986232
16,8,3,4,1,4,1,145,118,777.851512
16,8,3,4,1,4,2,145,124,777.851512
16,8,3,4,1,4,4,145,136,777.851512
16,8,3,4,2,4,1,145,118,776.986232
16,8,3,4,2,4,2,145,124,776.986232
16,8,3,4,2,4,4,145,136,776.986232
16,8,4,2,1,4,1,144,116,766.095606
16,8,4,2,1,4,2,144,122,766.095606
16,8,4,2,1,4,4,144,134,766.095606
16,8,4,2,2,4,1,144,116,765.230326
16,8,4,2,2,4,2,144,122,765.230326
16,8,4,2,2,4,4,144,134,765.230326
16,8,4,4,1,4,1,145,118,766.095606
16,8,4,4,1,4,2,145,124,766.095606
16,8,4,4,1,4,4,145,136,766.095606
16,8,4,4,2,4,1,145,118,765.230326
16,8,4,4,2,4,2,145,124,765.230326
16,8,4,4,2,4,4,145,136,765.230326
32,1,1,2,1,4,1,121,35,4698.310061
32,1,1,2,1,4,2,121,41,4698.310061
32,1,1,2,1,4,4,121,53,4698.310061
32,1,1,2,2,4,1,121,35,4697.444781
32,1,1,2,2,4,2,121,41,4697.444781
32,1,1,2,2,4,4,121,53,4697.444781
32,1,1,4,1,4,1,122,37,4698.310061
32,1,1,4,1,4,2,122,43,4698.310061
32,1,1,4,1,4,4,122,55,4698.310061
32,1,1,4,2,4,1,122,37,4697.444781
32,1,1,4,2,4,2,122,43,4697.444781
32,1,1,4,2,4,4,122,55,4697.444781
32,1,2,2,1,4,1,121,35,2972.331088
32,1,2,2,1,4,2,121,41,2972.331088
32,1,2,2,1,4,4,121,53,2972.331088
